,InvoiceNo,StockCode,Quantity,UnitPrice,CustomerID,Country,Product Type,Colour_type,Revenue,Cluster number,Year,Month,Day,DayOfWeek
9755,392,2408,6.0,2.55,112,25,1145,1,2.55,2,2010,12,5,0
71430,2157,350,6.0,2.95,947,25,1075,7,2.95,1,2011,1,25,2
27430,906,787,24.0,0.19,188,25,1907,7,0.19,2,2010,12,13,1
71594,2173,1256,1.0,1.65,1278,25,1047,7,1.65,1,2011,1,26,3
64781,1986,1287,8.0,5.95,561,25,1509,7,5.95,0,2011,1,20,4
3785,169,991,2.0,8.5,1015,25,2229,13,8.5,2,2010,12,2,4
40175,1361,1275,24.0,0.42,906,25,1367,7,0.42,0,2010,12,21,2
44377,1456,2360,1.0,7.95,507,25,494,7,7.95,0,2011,1,5,3
19723,687,1190,24.0,1.25,705,25,1221,7,1.25,2,2010,12,9,4
14210,508,945,4.0,3.95,1261,25,2210,7,3.95,2,2010,12,7,2
1042,62,2500,1.0,0.85,617,25,473,7,0.85,2,2010,12,1,3
73502,2235,1668,6.0,2.95,994,25,284,7,2.95,0,2011,1,27,4
66469,2023,2301,12.0,1.25,402,25,1014,7,1.25,0,2011,1,21,5
68821,2071,1602,12.0,2.1,56,9,967,7,2.1,0,2011,1,24,1
4719,224,798,48.0,0.65,1284,25,841,7,0.65,2,2010,12,2,4
8463,352,1154,4.0,3.75,113,25,1751,7,3.75,2,2010,12,5,0
54441,1732,396,4.0,1.25,523,25,2090,7,1.25,1,2011,1,12,3
72749,2215,1493,2.0,4.95,1167,25,277,7,4.95,0,2011,1,26,3
45601,1492,887,25.0,0.42,274,25,1412,1,0.42,1,2011,1,6,4
64478,1975,709,3.0,5.95,73,8,1073,7,5.95,1,2011,1,20,4
73123,2228,281,3.0,5.95,51,22,1726,11,5.95,1,2011,1,27,4
18067,622,1739,12.0,0.42,999,25,126,7,0.42,2,2010,12,8,3
11561,422,550,1.0,4.95,828,25,1046,7,4.95,2,2010,12,6,1
17276,587,352,12.0,1.95,580,25,522,7,1.95,2,2010,12,8,3
63195,1941,1466,24.0,1.25,1101,25,805,7,1.25,0,2011,1,19,3
9225,374,1416,1.0,2.55,720,25,377,7,2.55,2,2010,12,5,0
8963,365,943,6.0,4.95,507,25,425,7,4.95,2,2010,12,5,0
44554,1465,991,1.0,8.5,846,25,2229,13,8.5,1,2011,1,5,3
49076,1579,1174,20.0,0.85,220,25,2202,7,0.85,1,2011,1,9,0
30393,1019,406,1.0,1.45,1060,25,642,7,1.45,1,2010,12,14,2
19757,688,1001,1.0,9.95,254,25,1737,7,9.95,2,2010,12,9,4
54436,1732,2313,1.0,3.75,523,25,1519,9,3.75,0,2011,1,12,3
36205,1262,942,24.0,4.25,383,25,640,7,4.25,1,2010,12,17,5
1379,79,1833,4.0,3.75,653,25,249,7,3.75,2,2010,12,1,3
52301,1668,1137,48.0,1.45,411,25,1745,7,1.45,1,2011,1,11,2
71871,2187,1436,10.0,1.65,603,6,1205,7,1.65,0,2011,1,26,3
49068,1578,917,40.0,2.55,728,25,1422,7,2.55,1,2011,1,9,0
23278,796,791,24.0,1.25,106,8,200,7,1.25,2,2010,12,10,5
30051,1001,1440,2.0,2.95,857,25,1702,14,2.95,2,2010,12,14,2
69812,2106,342,2.0,2.1,409,25,1746,11,2.1,1,2011,1,24,1
17264,587,1877,8.0,1.25,580,25,2039,7,1.25,2,2010,12,8,3
24215,837,1566,8.0,2.95,339,25,912,7,2.95,2,2010,12,10,5
4057,188,517,8.0,3.75,1132,25,872,11,3.75,2,2010,12,2,4
18008,620,1675,2.0,2.95,925,25,1423,7,2.95,2,2010,12,8,3
9458,380,1366,1.0,0.85,503,25,765,11,0.85,2,2010,12,5,0
64366,1967,1433,1.0,1.95,519,25,1214,7,1.95,0,2011,1,19,3
20108,713,342,6.0,2.1,603,6,1746,11,2.1,2,2010,12,9,4
37598,1283,2048,1.0,4.25,1162,25,2208,7,4.25,0,2010,12,19,0
25268,847,822,5.0,1.95,488,25,68,9,1.95,2,2010,12,10,5
12639,466,156,4.0,2.1,962,25,835,7,2.1,2,2010,12,6,1
59535,1881,574,3.0,4.95,759,25,1267,7,4.95,1,2011,1,17,1
72107,2200,1498,2.0,3.75,1000,25,13,5,3.75,0,2011,1,26,3
19297,665,943,4.0,4.95,1157,25,425,7,4.95,2,2010,12,8,3
1322,75,952,3.0,5.95,762,25,159,7,5.95,2,2010,12,1,3
61805,1922,1305,3.0,0.85,1361,25,410,9,0.85,0,2011,1,18,2
51691,1652,711,4.0,5.95,628,25,104,7,5.95,1,2011,1,10,1
75968,2327,1928,2.0,2.95,1195,25,1580,9,2.95,0,2011,1,30,0
50156,1624,581,6.0,2.95,51,22,143,7,2.95,1,2011,1,10,1
69909,2109,1257,6.0,2.95,363,25,1047,7,2.95,1,2011,1,25,2
52337,1670,633,48.0,0.19,874,25,208,7,0.19,1,2011,1,11,2
45088,1478,763,3.0,10.95,625,25,1730,11,10.95,1,2011,1,5,3
58343,1831,317,1.0,3.35,1320,25,280,9,3.35,1,2011,1,14,5
49209,1584,2047,72.0,3.39,155,25,2107,7,3.39,0,2011,1,9,0
53434,1704,1251,12.0,1.65,560,25,1016,7,1.65,1,2011,1,11,2
25443,852,1106,4.0,2.55,1137,25,504,7,2.55,2,2010,12,12,0
74502,2273,1695,6.0,2.55,294,25,985,13,2.55,0,2011,1,28,5
63562,1955,1406,1.0,1.95,1104,22,1942,7,1.95,0,2011,1,19,3
19252,663,1343,12.0,1.25,1005,25,17,7,1.25,2,2010,12,8,3
34137,1216,1263,1.0,4.95,557,25,711,7,4.95,2,2010,12,16,4
61682,1918,324,24.0,1.25,48,9,1659,11,1.25,1,2011,1,18,2
29354,972,1606,4.0,14.95,601,25,276,5,14.95,2,2010,12,14,2
76095,2329,994,2.0,8.5,356,25,1085,13,8.5,1,2011,1,30,0
50047,1620,360,4.0,2.1,272,25,1497,7,2.1,1,2011,1,9,0
34057,1212,1139,2.0,0.65,1174,25,997,7,0.65,2,2010,12,16,4
31532,1058,2242,8.0,1.69,838,25,139,7,1.69,0,2010,12,15,3
48173,1558,1056,32.0,0.72,454,25,592,7,0.72,1,2011,1,7,5
75714,2318,852,12.0,0.29,1020,25,999,7,0.29,1,2011,1,30,0
58334,2851,892,-1.0,1.49,273,25,1984,7,1.49,1,2011,1,14,5
54703,1741,1907,3.0,7.95,386,25,725,7,7.95,0,2011,1,12,3
68355,2911,2393,-6.0,1.65,340,25,69,11,1.65,0,2011,1,23,0
6409,274,2322,1.0,2.55,1301,25,1098,7,2.55,2,2010,12,3,5
74801,2287,1337,12.0,1.49,1116,25,1743,7,1.49,0,2011,1,28,5
8859,361,1013,1.0,8.5,803,25,621,1,8.5,2,2010,12,5,0
17226,586,1849,3.0,1.45,350,25,1668,7,1.45,2,2010,12,8,3
32923,1147,1336,12.0,1.65,1011,25,1633,7,1.65,2,2010,12,16,4
43563,2755,763,-6.0,10.95,711,25,1730,11,10.95,1,2011,1,4,2
5066,251,1547,1.0,9.95,110,9,2016,7,9.95,2,2010,12,2,4
41386,1378,942,5.0,4.95,1305,25,640,7,4.95,1,2010,12,22,3
4614,222,145,1.0,0.85,755,25,1732,11,0.85,2,2010,12,2,4
71209,2150,349,1.0,1.45,222,25,2003,7,1.45,1,2011,1,25,2
29344,971,775,6.0,1.25,704,25,1498,7,1.25,2,2010,12,14,2
18251,636,1602,24.0,2.1,1390,25,967,7,2.1,2,2010,12,8,3
77850,2396,302,96.0,0.64,1200,25,1744,11,0.64,1,2011,2,1,2
43492,1429,2048,1.0,4.25,1006,25,2208,7,4.25,0,2011,1,4,2
3951,184,1943,6.0,1.25,207,25,298,7,1.25,2,2010,12,2,4
77665,2388,2407,6.0,2.95,603,6,1022,13,2.95,0,2011,2,1,2
59740,1893,1056,3.0,0.85,538,25,592,7,0.85,1,2011,1,17,1
17582,609,981,2.0,0.85,619,25,995,7,0.85,2,2010,12,8,3
28572,931,1407,12.0,1.95,244,25,1212,7,1.95,2,2010,12,13,1
31385,1053,1521,10.0,3.75,1130,25,767,7,3.75,2,2010,12,15,3
36224,1263,907,12.0,1.65,413,25,1773,9,1.65,1,2010,12,17,5
30000,999,579,1.0,4.95,527,25,1729,11,4.95,2,2010,12,14,2
46868,1518,829,5.0,2.95,14,8,1747,11,2.95,1,2011,1,6,4
46930,1521,1661,6.0,2.55,191,25,1482,7,2.55,0,2011,1,6,4
9776,393,92,6.0,2.95,734,25,1677,7,2.95,2,2010,12,5,0
45669,1497,2313,24.0,3.75,546,25,1519,9,3.75,0,2011,1,6,4
70666,2137,1402,2.0,8.5,1244,25,1157,11,8.5,0,2011,1,25,2
52665,1691,2099,2.0,2.55,542,25,475,1,2.55,0,2011,1,11,2
24099,833,629,1.0,1.25,739,25,979,7,1.25,2,2010,12,10,5
73430,2231,1137,8.0,1.65,129,25,1745,7,1.65,1,2011,1,27,4
37866,1291,1707,4.0,4.95,770,25,467,7,4.95,0,2010,12,19,0
17746,613,694,1.0,4.95,854,25,909,7,4.95,2,2010,12,8,3
69076,2083,2061,1.0,1.95,806,25,198,7,1.95,0,2011,1,24,1
75737,2318,806,1.0,2.1,1020,25,1070,7,2.1,1,2011,1,30,0
9598,385,624,4.0,3.75,826,25,0,7,3.75,2,2010,12,5,0
70465,2921,147,-2.0,1.65,546,25,1211,7,1.65,1,2011,1,25,2
32045,1089,2242,40.0,1.69,208,25,139,7,1.69,0,2010,12,15,3
5208,257,967,1.0,2.1,520,25,439,7,2.1,2,2010,12,2,4
41590,1388,2589,12.0,1.65,675,25,572,7,1.65,0,2010,12,23,4
7862,333,1604,4.0,4.65,244,25,2209,7,4.65,2,2010,12,5,0
58308,1827,852,48.0,0.29,403,25,999,7,0.29,1,2011,1,14,5
57615,1820,943,6.0,4.95,461,25,425,7,4.95,1,2011,1,14,5
16392,560,938,1.0,3.75,1306,25,1621,7,3.75,2,2010,12,7,2
70767,2142,241,48.0,1.25,111,21,1538,9,1.25,1,2011,1,25,2
58762,1852,861,1.0,1.65,1347,25,699,1,1.65,1,2011,1,16,0
7872,334,1240,1.0,3.35,584,25,1857,1,3.35,2,2010,12,5,0
33651,1183,1909,2.0,7.95,1372,25,974,7,7.95,0,2010,12,16,4
72958,2223,2393,10.0,1.95,193,25,69,11,1.95,0,2011,1,27,4
4013,186,2601,1.0,9.95,1321,25,1328,0,9.95,2,2010,12,2,4
1205,70,930,1.0,1.25,1307,25,1953,7,1.25,2,2010,12,1,3
21442,742,1274,12.0,1.65,1239,25,1921,7,1.65,2,2010,12,9,4
45627,1494,1030,48.0,1.45,1165,25,2242,7,1.45,1,2011,1,6,4
77911,2398,1332,1.0,1.65,627,25,1630,7,1.65,0,2011,2,1,2
2097,85,311,2.0,1.25,1285,25,2073,7,1.25,2,2010,12,1,3
48047,1552,1742,25.0,0.42,42,9,873,7,0.42,0,2011,1,7,5
49216,1585,1201,10.0,1.95,583,25,2165,11,1.95,1,2011,1,9,0
47317,1537,2052,3.0,2.95,855,25,2208,11,2.95,0,2011,1,7,5
41616,1389,491,6.0,2.1,344,9,1648,11,2.1,1,2010,12,23,4
24253,838,1738,12.0,1.25,1296,25,556,7,1.25,2,2010,12,10,5
64558,1977,1203,6.0,2.95,1182,25,1852,7,2.95,1,2011,1,20,4
12558,460,1673,2.0,0.85,496,25,2145,7,0.85,2,2010,12,6,1
62479,2869,1539,-1.0,9.95,1375,25,741,7,9.95,0,2011,1,18,2
8633,357,1249,6.0,1.25,754,25,915,7,1.25,2,2010,12,5,0
65880,2001,2021,1.0,2.55,555,25,1515,13,2.55,0,2011,1,20,4
2054,85,242,2.0,1.25,1285,25,1551,9,1.25,2,2010,12,1,3
78619,2423,1907,10.0,6.75,996,25,725,7,6.75,0,2011,2,1,2
3217,133,2049,3.0,4.65,794,25,2208,11,4.65,2,2010,12,2,4
9026,367,812,12.0,1.25,1295,25,169,1,1.25,2,2010,12,5,0
12139,447,2252,1.0,3.75,1292,25,1531,9,3.75,2,2010,12,6,1
8159,343,1082,1.0,2.95,1361,25,761,7,2.95,2,2010,12,5,0
44226,1450,2047,2.0,3.75,1004,25,2107,7,3.75,0,2011,1,5,3
50939,1635,917,2.0,2.95,627,25,1422,7,2.95,1,2011,1,10,1
25665,857,477,3.0,5.45,1107,25,290,7,5.45,2,2010,12,12,0
26549,888,389,1.0,3.75,1228,25,154,11,3.75,2,2010,12,12,0
37878,2701,1378,-12.0,0.85,1389,25,454,7,0.85,0,2010,12,20,1
30483,1022,2316,1.0,5.95,1285,25,175,0,5.95,0,2010,12,14,2
77148,2360,1572,1.0,2.95,1305,25,301,9,2.95,0,2011,1,31,1
16373,560,2191,10.0,1.25,1306,25,2281,7,1.25,2,2010,12,7,2
5754,270,1170,1.0,4.25,1048,25,7,11,4.25,2,2010,12,3,5
26241,879,1421,2.0,1.45,849,25,391,7,1.45,2,2010,12,12,0
22458,775,1592,1.0,35.95,1206,25,2020,7,35.95,2,2010,12,9,4
9317,377,325,1.0,1.25,827,25,1447,9,1.25,2,2010,12,5,0
65884,2001,1076,3.0,0.85,555,25,683,7,0.85,1,2011,1,20,4
19154,655,2407,5.0,2.95,212,25,1022,13,2.95,2,2010,12,8,3
40065,1356,1614,3.0,16.95,603,6,213,7,16.95,0,2010,12,21,2
34713,1255,993,4.0,6.75,381,6,1517,7,6.75,1,2010,12,17,5
67998,2050,1521,1.0,3.75,234,25,767,7,3.75,0,2011,1,23,0
71652,2180,816,20.0,0.42,389,25,361,7,0.42,1,2011,1,26,3
39358,1333,1634,1.0,1.95,398,25,1333,7,1.95,0,2010,12,20,1
6439,276,868,12.0,0.42,398,25,148,7,0.42,2,2010,12,3,5
45999,1506,852,24.0,0.29,712,25,999,7,0.29,1,2011,1,6,4
64533,1976,2060,6.0,0.65,1278,25,1177,7,0.65,0,2011,1,20,4
3962,185,2412,2.0,4.95,1058,25,1951,7,4.95,2,2010,12,2,4
34415,1232,343,8.0,1.95,122,20,1725,7,1.95,1,2010,12,17,5
33875,1200,1612,2.0,6.35,462,25,2150,3,6.35,0,2010,12,16,4
59075,1859,109,6.0,2.95,72,9,1749,11,2.95,1,2011,1,17,1
30309,1012,1132,6.0,2.95,950,25,1801,7,2.95,2,2010,12,14,2
59446,1877,486,48.0,0.85,506,25,1106,7,0.85,1,2011,1,17,1
55433,1754,2113,12.0,0.85,193,25,1369,7,0.85,0,2011,1,13,4
4012,186,2592,1.0,8.95,1321,25,887,1,8.95,2,2010,12,2,4
68820,2071,1279,12.0,1.25,56,9,706,7,1.25,0,2011,1,24,1
49578,1600,243,5.0,0.65,188,25,1493,7,0.65,1,2011,1,9,0
47435,1543,1628,4.0,4.25,1047,25,979,7,4.25,0,2011,1,7,5
55808,1756,1913,12.0,0.85,1165,25,1189,9,0.85,0,2011,1,13,4
71870,2187,1108,6.0,2.55,603,6,503,7,2.55,1,2011,1,26,3
51030,1639,1456,10.0,1.25,435,25,171,1,1.25,0,2011,1,10,1
57607,1820,2054,6.0,1.65,461,25,1036,9,1.65,0,2011,1,14,5
70442,2126,1039,12.0,1.95,760,25,266,13,1.95,1,2011,1,25,2
5342,266,1364,10.0,1.25,134,25,1360,7,1.25,2,2010,12,3,5
78367,2413,1568,8.0,3.75,935,25,27,7,3.75,0,2011,2,1,2
45825,1501,509,60.0,1.25,9,0,1675,7,1.25,1,2011,1,6,4
16283,556,1721,1.0,4.25,1220,25,1125,7,4.25,2,2010,12,7,2
20615,736,2223,19.0,0.85,1027,25,2287,7,0.85,2,2010,12,9,4
75444,2308,1908,2.0,7.95,917,25,2215,7,7.95,0,2011,1,30,0
73851,2254,775,2.0,1.25,1363,25,1498,7,1.25,1,2011,1,27,4
44932,1477,1824,1.0,9.95,727,25,1299,7,9.95,0,2011,1,5,3
72229,2204,526,6.0,0.85,1085,25,1606,9,0.85,1,2011,1,26,3
24926,2571,352,-2.0,1.69,340,25,522,7,1.69,1,2010,12,10,5
74713,2284,570,1.0,7.95,748,25,1761,11,7.95,1,2011,1,28,5
29338,971,2027,2.0,1.45,704,25,2206,7,1.45,0,2010,12,14,2
52364,1674,334,8.0,1.69,67,9,1252,7,1.69,1,2011,1,11,2
46519,1510,2017,24.0,3.39,298,25,2190,12,3.39,0,2011,1,6,4
68306,2059,611,1.0,8.5,527,25,2183,7,8.5,1,2011,1,23,0
38555,1313,781,36.0,0.42,454,25,1317,7,0.42,1,2010,12,20,1
42622,1407,1050,12.0,1.25,527,25,853,7,1.25,1,2011,1,4,2
73067,2226,2648,1.0,50.0,603,6,343,7,50.0,0,2011,1,27,4
66188,2013,1542,12.0,1.25,980,25,660,7,1.25,0,2011,1,21,5
31514,1058,943,5.0,4.95,838,25,425,7,4.95,2,2010,12,15,3
527,41,1631,1.0,2.1,1308,25,971,7,2.1,2,2010,12,1,3
23965,825,2407,6.0,2.95,216,25,1022,13,2.95,0,2010,12,10,5
26177,878,979,6.0,0.42,748,25,590,7,0.42,2,2010,12,12,0
28359,923,1012,1.0,8.5,1146,25,1107,7,8.5,2,2010,12,13,1
18222,632,399,3.0,0.85,692,25,1531,9,0.85,2,2010,12,8,3
6584,281,1674,24.0,2.95,1277,25,1426,7,2.95,2,2010,12,3,5
3243,135,1396,8.0,3.75,1289,25,0,7,3.75,2,2010,12,2,4
40202,1363,1261,16.0,4.25,536,17,2101,7,4.25,0,2010,12,21,2
9998,400,583,2.0,2.55,224,25,1988,7,2.55,2,2010,12,5,0
19103,2526,570,-2.0,6.95,1039,25,1761,11,6.95,1,2010,12,8,3
17842,617,1274,1.0,1.65,1158,25,1921,7,1.65,2,2010,12,8,3
22430,773,2023,2.0,6.45,234,25,2230,0,6.45,2,2010,12,9,4
71237,2150,1971,3.0,4.25,222,25,1820,7,4.25,0,2011,1,25,2
17480,604,1665,1.0,2.95,1050,25,2050,7,2.95,2,2010,12,8,3
78866,2430,2372,1.0,3.75,872,25,724,7,3.75,0,2011,2,1,2
6387,273,943,72.0,4.25,546,25,425,7,4.25,2,2010,12,3,5
23584,806,2540,4.0,6.35,1283,25,615,5,6.35,0,2010,12,10,5
63628,1957,1628,1.0,4.25,1285,25,979,7,4.25,0,2011,1,19,3
54650,1736,1433,2.0,1.95,1155,25,1214,7,1.95,0,2011,1,12,3
63408,1949,2438,12.0,1.25,763,25,2032,0,1.25,0,2011,1,19,3
10126,401,907,2.0,1.65,113,25,1773,9,1.65,2,2010,12,5,0
26148,875,2022,2.0,5.95,324,25,2235,13,5.95,2,2010,12,12,0
19366,667,2174,2.0,8.95,848,25,387,7,8.95,2,2010,12,8,3
46490,1509,799,4.0,0.65,332,25,0,7,0.65,1,2011,1,6,4
48573,1562,1423,4.0,1.45,37,22,1987,7,1.45,0,2011,1,7,5
33361,1165,2347,12.0,1.25,649,25,1312,7,1.25,0,2010,12,16,4
62651,1931,2464,1.0,2.95,241,25,2118,7,2.95,0,2011,1,18,2
24108,833,1500,1.0,3.75,739,25,14,9,3.75,2,2010,12,10,5
14647,533,1666,4.0,2.1,841,25,2080,7,2.1,2,2010,12,7,2
47022,1521,549,8.0,3.45,191,25,947,6,3.45,1,2011,1,6,4
29042,958,1563,2.0,6.75,184,25,2021,7,6.75,2,2010,12,14,2
11689,427,1359,2.0,5.95,627,25,4,7,5.95,2,2010,12,6,1
7041,300,1254,2.0,2.55,1120,25,953,7,2.55,2,2010,12,3,5
70444,2126,1386,36.0,0.21,760,25,832,7,0.21,0,2011,1,25,2
47901,1549,308,12.0,0.85,61,8,1434,11,0.85,1,2011,1,7,5
69144,2088,452,4.0,2.95,1274,25,817,13,2.95,1,2011,1,24,1
45748,1499,141,3.0,1.25,787,25,1991,7,1.25,1,2011,1,6,4
30551,1027,2082,2.0,9.95,198,25,785,7,9.95,0,2010,12,14,2
33516,1172,300,12.0,1.25,767,25,2134,7,1.25,1,2010,12,16,4
40160,1361,334,8.0,1.69,906,25,1252,7,1.69,1,2010,12,21,2
28957,951,275,1.0,0.95,113,25,347,7,0.95,1,2010,12,13,1
28564,930,1413,1.0,8.5,32,9,398,7,8.5,2,2010,12,13,1
5272,263,1213,2.0,12.75,262,25,1710,7,12.75,2,2010,12,3,5
23194,786,569,2.0,7.95,1300,25,647,7,7.95,2,2010,12,10,5
77707,2390,1627,6.0,1.65,1111,25,691,7,1.65,0,2011,2,1,2
68808,2071,1660,36.0,2.95,56,9,2048,7,2.95,0,2011,1,24,1
73610,2239,518,12.0,1.25,75,9,103,7,1.25,1,2011,1,27,4
72252,2205,237,10.0,1.25,1,11,107,7,1.25,1,2011,1,26,3
75935,2327,1742,25.0,0.42,1195,25,873,7,0.42,0,2011,1,30,0
78166,2406,2307,5.0,0.55,1012,25,2019,7,0.55,0,2011,2,1,2
26139,873,336,3.0,3.75,547,25,1705,0,3.75,2,2010,12,12,0
36249,1264,2022,4.0,5.95,1296,25,2235,13,5.95,0,2010,12,17,5
25607,2577,149,-1.0,1.65,927,25,1204,1,1.65,1,2010,12,12,0
44619,1470,1537,4.0,2.95,537,25,1506,7,2.95,0,2011,1,5,3
71391,2154,1182,10.0,1.95,1098,25,67,9,1.95,1,2011,1,25,2
58401,1834,2085,1.0,1.25,892,25,992,7,1.25,0,2011,1,16,0
51020,1638,275,1.0,0.95,1287,25,347,7,0.95,1,2011,1,10,1
64154,1961,1812,6.0,1.25,1226,25,1546,9,1.25,0,2011,1,19,3
